,ward,beds,baths,DEN,size,parking,exposure,D_mkt,building_age,maint,price,lt,lg
86,13,1.0,1,1,0.0,0,3,12.0,13,487.0,675000.0,43.650027034550334,-79.40682970653084
87,11,0.0,1,0,1.0,1,3,9.0,13,446.0,552000.0,43.656658350824095,-79.36230834212346
88,10,2.0,2,0,2.0,1,1,22.0,5,1504.0,1538000.0,43.65663966847502,-79.39924416317368
89,10,3.0,2,0,2.0,1,1,34.0,4,1640.0,1708000.0,43.657071479730874,-79.3995171978187
90,10,0.0,1,0,0.0,0,1,29.0,0,461.0,413000.0,43.65860317202797,-79.41780895263135
91,13,1.0,1,0,1.0,1,1,12.0,6,997.0,907000.0,43.639544536013545,-79.38453389099516
92,13,0.0,1,0,0.0,0,1,7.0,5,190.0,314000.0,43.65235559667089,-79.3863155500551
93,11,1.0,1,1,0.0,1,0,26.0,11,474.0,593000.0,43.662041467749845,-79.38009355385358
94,10,1.0,1,1,1.0,1,3,5.0,5,453.0,612000.0,43.66152776590947,-79.41297912124354
95,13,1.0,1,0,1.0,1,0,6.0,5,332.0,540000.0,43.644540695969226,-79.38308815965767
96,10,1.0,1,1,1.0,1,1,30.0,19,541.0,783000.0,43.659272372162846,-79.39566259695796
97,10,1.0,1,0,1.0,1,0,13.963524292485236,11,474.0,603000.0,43.65217193262901,-79.41089718092816
98,11,1.0,1,0,1.0,0,1,21.0,8,484.0,810000.0,43.66400480180729,-79.37821531558511
99,10,3.0,2,0,3.0,1,2,2.0,6,1626.0,2207000.0,43.65972789962456,-79.41874424481644
100,13,1.0,1,1,1.0,1,0,13.0,29,560.0,564000.0,43.65045985845342,-79.35048391162378
101,11,2.0,2,1,1.0,1,2,4.0,8,721.0,1031000.0,43.661826715161794,-79.35581266835601
102,13,1.0,1,0,0.0,0,1,17.0,11,277.0,352000.0,43.64130923726016,-79.39258533083662
103,13,1.0,1,0,0.0,1,1,2.0,23,389.0,580000.0,43.63124935084299,-79.41939278981891
104,13,3.0,2,0,3.0,0,0,6.0,2,1419.0,1856000.0,43.64528066870085,-79.40670355453
105,10,2.0,2,1,2.0,1,3,7.0,0,770.0,1026000.0,43.67169297277797,-79.41601900289291
106,11,3.0,2,0,1.0,1,2,21.0,5,1414.0,1169000.0,43.650753758487504,-79.3693685044526
107,13,0.0,1,0,1.0,1,0,4.0,1,311.0,406000.0,43.650946703173105,-79.38949194726895
108,13,3.0,2,0,1.0,0,0,31.0,7,741.0,960000.0,43.634756490158544,-79.40277160720318
109,10,1.0,1,0,0.0,0,1,3.0,3,539.0,598000.0,43.65845822529775,-79.39978922218572
110,13,3.0,2,0,2.0,1,0,29.0,31,880.0,1201000.0,43.64315636809393,-79.42172139457325
111,10,0.0,1,0,0.0,0,0,28.0,25,568.0,446000.0,43.68721113253535,-79.38257074904202
112,10,0.0,1,0,0.0,1,1,4.0,14,444.0,482000.0,43.67257119886015,-79.40402579686784
113,13,2.0,3,0,2.0,1,3,1.0,6,883.0,1065000.0,43.635084016034085,-79.40495305559969
114,13,1.0,1,0,0.0,0,0,15.0,20,305.0,408000.0,43.64048941037716,-79.40402920670617
115,13,1.0,1,1,0.0,1,2,26.0,14,425.0,573000.0,43.651178547436416,-79.39921735968286
116,10,1.0,1,0,1.0,1,1,19.0,2,702.0,787000.0,43.661757252228746,-79.42061399658787
117,13,1.0,1,0,0.0,0,0,10.0,12,412.0,453000.0,43.63328528376831,-79.41454809962507
118,13,1.0,1,0,0.0,0,1,5.0,22,210.0,345000.0,43.64717564115477,-79.41034858502093
119,10,0.0,1,0,1.0,1,3,11.0,2,519.0,510000.0,43.65251789719476,-79.42143272123265
120,13,1.0,1,1,0.0,1,0,40.0,10,385.0,505000.0,43.63837857384209,-79.40981652051418
121,13,3.0,2,0,2.0,1,1,6.0,2,753.3905172136813,1982000.0,43.62608245220396,-79.40180083307985
122,11,2.0,2,0,4.0,0,0,6.0,1,1773.0,2646000.0,43.65521151115659,-79.3519358388028
123,10,2.0,2,0,0.0,1,1,26.0,21,459.0,539000.0,43.66579167224076,-79.38951447651665
124,10,1.0,1,0,1.0,1,0,13.988714934338784,9,629.0,806000.0,43.66014471514905,-79.41132780932112
125,13,2.0,2,0,1.0,0,2,2.0,12,548.0,522000.0,43.63915039196851,-79.41671069587115
126,13,2.0,2,0,2.0,1,2,4.0,3,1161.0,1308000.0,43.64887440390925,-79.39330050220346
127,10,3.0,2,0,3.0,1,0,46.0,1,1472.0,2483000.0,43.67376576396133,-79.37054183086484
128,13,2.0,1,0,2.0,0,2,13.0,16,826.0,976000.0,43.64476035255634,-79.37947219238056
129,10,2.0,2,0,1.0,1,1,14.0,6,473.0,776000.0,43.67479658561091,-79.37942925236273
130,10,2.0,2,0,2.0,0,3,13.0,17,809.0,1083000.0,43.68184248427738,-79.38766402656029
131,10,1.0,1,0,1.0,1,1,4.0,6,737.0,830000.0,43.65583799717483,-79.39890366529887
132,11,1.0,1,0,0.0,0,1,13.980913961377684,1,581.0,597000.0,43.667817976629486,-79.37491657821232
133,13,1.0,1,0,1.0,0,1,7.0,39,969.0,1076000.0,43.63920830374038,-79.39966645969287
134,13,1.0,1,1,0.0,0,0,5.0,5,299.0,398000.0,43.6463932135532,-79.4180267698472
135,11,1.0,1,1,1.0,1,1,32.0,9,464.0,731000.0,43.66688987265,-79.37130067000518
136,13,1.0,1,1,1.0,0,0,19.0,5,761.0,608000.0,43.637045293079005,-79.39690835104925
138,13,1.0,1,1,0.0,1,1,26.0,4,1095.0,835000.0,43.64247178059622,-79.38279778710346
139,11,2.0,2,0,3.0,0,2,9.0,1,1241.0,1799000.0,43.66981916521821,-79.37834646910025
140,10,1.0,1,0,1.0,0,0,14.0,21,364.0,561000.0,43.65588387795109,-79.40476718222999
141,11,3.0,3,0,1.0,0,3,2.0,1,596.0,671000.0,43.65645025112478,-79.37713253898661
142,11,2.0,2,1,4.0,1,0,27.0,24,1481.0,2239000.0,43.663886654527595,-79.38236093873577
143,13,1.0,1,1,0.0,0,1,5.0,37,366.0,476000.0,43.643930689694066,-79.38497867186427
144,10,0.0,1,0,0.0,0,2,16.0,14,364.0,494000.0,43.65829894795095,-79.42369971838299
145,13,1.0,2,0,0.0,0,1,18.0,23,397.0,531000.0,43.64645378308035,-79.37691093812559
146,10,2.0,3,0,1.0,1,1,10.0,14,1136.0,759000.0,43.66340627087072,-79.40810610224344
147,13,2.0,3,0,1.0,1,1,0.0,6,1124.0,918000.0,43.65065330124802,-79.38919678011524
148,13,1.0,1,0,0.0,0,0,33.0,15,559.0,574000.0,43.635362465217824,-79.42476392666237
149,13,1.0,1,0,0.0,1,1,3.0,13,401.0,534000.0,43.649510654173305,-79.38301674736108
150,11,2.0,2,0,1.0,1,1,17.0,4,493.0,758000.0,43.666652399762945,-79.36490954515091
151,10,1.0,1,0,0.0,0,1,13.0,4,445.0,572000.0,43.661874971400195,-79.3907142429252
152,13,1.0,1,1,0.0,0,1,4.0,10,410.0,534000.0,43.646395933187975,-79.39277280035749
153,13,2.0,2,1,4.0,0,0,24.0,0,791.0,1354000.0,43.62952416907706,-79.41689166261776
155,13,1.0,1,1,1.0,1,1,9.0,10,536.0,611000.0,43.63094580780606,-79.41025881775457
156,13,2.0,3,0,1.0,1,1,5.0,17,483.0,781000.0,43.6524580707927,-79.38502711394055
157,13,1.0,2,0,1.0,0,0,15.0,1,807.0,727000.0,43.65489034461185,-79.3878188619261
158,10,2.0,2,0,1.0,0,0,0.0,9,542.0,858000.0,43.67171534884383,-79.40740865283625
159,10,2.0,1,0,1.0,0,1,37.0,21,347.0,544000.0,43.66901353767106,-79.41736501555722
160,10,1.0,1,1,1.0,0,2,3.0,19,904.0,589000.0,43.6594137567821,-79.4200385239682
161,11,1.0,1,0,1.0,1,1,6.0,10,753.3905172136813,937000.0,43.66490467872208,-79.35882310423476
162,10,1.0,1,1,1.0,1,1,28.0,15,453.0,697000.0,43.65267853662135,-79.40554654605934
163,13,2.0,2,1,2.0,1,3,24.0,4,1772.0,1455000.0,43.64703278128743,-79.41795082190966
164,13,1.0,1,1,0.0,1,0,2.0,0,309.0,401000.0,43.64176175533039,-79.37666097934573
165,10,1.0,1,1,0.0,1,1,10.0,4,315.0,494000.0,43.67484879304373,-79.37657396379102
166,10,2.0,1,1,1.0,1,0,3.0,1,667.0,707000.0,43.678046103806096,-79.38693096471944
167,10,1.0,1,0,1.0,1,1,35.0,4,786.0,736000.0,43.66690825086027,-79.41704656766072
168,10,2.0,2,0,0.0,1,0,13.951172751963496,5,398.0,637000.0,43.674020072725384,-79.38316132801693
169,13,2.0,2,1,3.0,0,1,16.0,16,1737.0,2031000.0,43.63176884942029,-79.42427312725944
170,13,2.0,2,0,1.0,0,1,28.0,16,546.0,564000.0,43.64858599701532,-79.3534928989926
171,10,1.0,1,0,0.0,0,0,6.0,31,432.0,504000.0,43.67012613902014,-79.39690161902813
172,13,1.0,1,0,1.0,1,0,22.0,2,343.0,544000.0,43.64800763819655,-79.35379269777367
173,11,2.0,2,0,4.0,1,1,10.0,3,1623.0,2525000.0,43.667739206538826,-79.36330642542268
174,11,3.0,2,0,1.0,1,3,6.0,6,1056.0,1297000.0,43.65686901433624,-79.35628880592218
175,10,1.0,1,1,0.0,1,0,7.0,0,640.0,521000.0,43.674109501602665,-79.40706116561653
176,11,1.0,1,1,1.0,0,0,13.0,5,561.0,908000.0,43.65310288514511,-79.36203643370004
178,10,2.0,2,0,2.0,0,1,15.0,10,1351.0,1120000.0,43.65424323322222,-79.40594952490831
179,13,2.0,2,1,1.0,1,1,0.0,5,737.0,977000.0,43.64744602219507,-79.3651524639819
180,11,1.0,1,0,0.0,0,0,1.0,1,244.0,454000.0,43.65574813290531,-79.37370991322578
181,10,1.0,1,1,1.0,0,0,30.0,52,545.0,640000.0,43.67335447870717,-79.41074268492588
182,10,2.0,2,0,1.0,0,3,2.0,8,986.0,966000.0,43.67069780830903,-79.40366341418458
183,11,1.0,1,0,1.0,1,2,2.0,6,583.0,650000.0,43.64961300380499,-79.36508749063192
184,13,1.0,1,0,0.0,0,1,29.0,7,359.0,324000.0,43.64347408814545,-79.37366568961681
185,13,1.0,1,0,1.0,1,0,2.0,18,352.0,411000.0,43.638637134422,-79.41018148605123
186,11,2.0,2,0,5.0,1,2,74.0,0,3417.0,2966000.0,43.66185212649464,-79.35603251620512
187,10,2.0,3,0,1.0,1,1,1.0,2,770.0,1048000.0,43.67531052052358,-79.40226779426919
188,13,2.0,1,1,1.0,1,0,13.0,13,1152.0,947000.0,43.64000762452478,-79.38138657809166
189,11,1.0,1,1,1.0,1,3,0.0,11,489.0,653000.0,43.66658013517973,-79.38450133567503
190,11,1.0,1,0,2.0,0,2,3.0,31,771.0,1095000.0,43.65176935478931,-79.37778267611975
191,13,1.0,1,0,0.0,0,1,2.0,24,421.0,597000.0,43.65119165422813,-79.4035214988771
192,10,2.0,2,0,1.0,1,1,26.0,4,519.0,904000.0,43.67350499054061,-79.38648101676132
193,11,1.0,2,0,1.0,0,1,23.0,3,585.0,727000.0,43.66780697740527,-79.35818711631141
194,11,2.0,2,0,2.0,0,0,11.0,3,702.0,881000.0,43.655325940968815,-79.381011492229
195,10,2.0,2,1,1.0,0,1,2.0,9,519.0,652000.0,43.68481666375047,-79.37706837722106
196,10,1.0,1,1,0.0,0,3,16.0,12,505.0,544000.0,43.675975815965785,-79.39490558716217
197,13,0.0,1,0,0.0,1,0,1.0,7,261.0,355000.0,43.649436643205405,-79.35213891812829
198,10,2.0,3,0,1.0,0,2,1.0,8,521.0,623000.0,43.6627414032855,-79.38916232027992
199,10,1.0,1,1,0.0,0,3,26.0,1,660.0,464000.0,43.67651435368483,-79.39268772800534
200,10,1.0,1,0,0.0,1,0,36.0,37,269.0,466000.0,43.686888267049085,-79.36351953456581
201,13,1.0,2,1,1.0,1,3,36.0,3,527.0,657000.0,43.639487238746035,-79.41667247786116
202,10,1.0,1,0,0.0,1,2,6.0,6,512.0,473000.0,43.688033118822126,-79.38481278625581
203,11,0.0,1,0,1.0,1,0,12.0,18,753.3932491608009,524000.0,43.65165957560184,-79.375302009554
204,10,2.0,2,0,1.0,0,0,21.0,1,753.3973470814805,745000.0,43.688402125996504,-79.3654918067672
205,11,1.0,1,1,2.0,1,2,24.0,9,816.0,1064000.0,43.670338588061696,-79.37936203430705
206,10,1.0,1,0,2.0,1,1,12.0,8,930.0,1127000.0,43.67181293399795,-79.38527803213698
207,10,2.0,2,1,0.0,1,0,13.964661934375396,11,481.0,700000.0,43.66711887712077,-79.40262124343852
209,13,2.0,2,1,2.0,0,1,18.0,1,1103.0,1203000.0,43.63994975532933,-79.41481056006283
210,11,1.0,1,1,1.0,0,0,14.0,1,523.0,756000.0,43.66923596893025,-79.3656583626832
211,13,3.0,2,0,1.0,1,2,6.0,9,568.0,672000.0,43.6466026748435,-79.41600724437738
212,10,1.0,1,1,1.0,1,0,6.0,5,469.0,530000.0,43.67443319868485,-79.37855190717494
213,13,1.0,1,1,0.0,1,0,3.0,9,669.0,792000.0,43.64122224396262,-79.40891520821529
214,13,1.0,1,0,1.0,0,1,2.0,3,343.0,591000.0,43.65063742710944,-79.39387014994767
215,10,1.0,1,0,1.0,1,1,7.0,17,755.0,936000.0,43.66663577127729,-79.4150919074637
216,10,1.0,1,0,1.0,0,0,12.0,22,340.0,500000.0,43.68991857268851,-79.37927499332562
217,10,1.0,1,0,1.0,1,0,11.0,8,449.0,547000.0,43.65651995226327,-79.40546909214754
218,13,2.0,2,0,1.0,0,3,23.0,6,708.0,791000.0,43.639007703432,-79.40604701251473
219,10,0.0,1,0,0.0,1,1,1.0,3,310.0,447000.0,43.66183617802765,-79.38955415243652
220,13,2.0,2,0,1.0,1,1,0.0,19,388.0,569000.0,43.638409195640286,-79.39004426804922
221,10,3.0,3,0,4.0,1,1,25.0,2,1914.0,2523000.0,43.6737279464691,-79.39502352371382
222,13,1.0,1,1,1.0,1,1,9.0,46,438.0,506000.0,43.647976570679106,-79.40652898471484
223,13,1.0,1,0,0.0,1,0,2.0,2,338.0,457000.0,43.640524672574855,-79.42572319453163
224,10,2.0,2,0,1.0,1,0,38.0,2,682.0,673000.0,43.66151782537853,-79.40249935089085
225,11,1.0,1,0,1.0,1,2,10.0,15,402.0,716000.0,43.66337397273183,-79.36729551622913
226,10,1.0,1,1,1.0,1,3,7.0,7,822.0,980000.0,43.65560549918588,-79.40146227204848
227,10,3.0,2,0,3.0,1,1,55.0,5,1366.0,1781000.0,43.69035080511779,-79.37930150360336
228,10,2.0,2,0,0.0,0,0,3.0,1,370.0,550000.0,43.65898652943629,-79.42186188298885
229,13,1.0,2,1,2.0,0,2,22.0,16,782.0,928000.0,43.64742202452528,-79.40438269444009
230,11,2.0,2,0,2.0,1,0,1.0,7,1132.0,1432000.0,43.67093961010933,-79.37345730994248
231,11,1.0,1,1,1.0,1,0,1.0,20,507.0,775000.0,43.665534819517774,-79.37915678461212
232,13,3.0,2,0,3.0,0,1,6.0,47,656.0,1079000.0,43.64415530931559,-79.39893867100682
233,10,0.0,1,0,1.0,1,0,15.0,4,438.0,510000.0,43.66648475885927,-79.40175353350932
234,13,3.0,2,0,2.0,0,0,31.0,3,836.0,1149000.0,43.64249844677967,-79.37407147965666
235,11,1.0,1,1,1.0,0,1,33.0,2,522.0,600000.0,43.65762379528163,-79.37699996743123
236,11,1.0,1,1,0.0,1,1,4.0,8,519.0,681000.0,43.6655007595563,-79.36614684837748
237,10,1.0,1,1,1.0,0,0,13.0,4,652.0,764000.0,43.66975460570713,-79.41527096191653
238,10,1.0,1,1,1.0,1,1,24.0,13,933.0,958000.0,43.68523483801255,-79.37474082480158
239,10,2.0,1,0,1.0,1,1,14.002204116750685,14,712.0,694000.0,43.68122746226295,-79.38314511259006
240,11,2.0,2,0,1.0,0,0,1.0,1,592.0,656000.0,43.66773687061154,-79.36903527930563
241,13,2.0,1,1,1.0,1,2,19.0,2,909.0,1105000.0,43.642323865242474,-79.39314403249375
242,11,1.0,1,1,1.0,1,1,19.0,12,419.0,575000.0,43.66927232957425,-79.37878562468559
243,10,2.0,2,1,2.0,1,1,8.0,29,908.0,1604000.0,43.67368553933773,-79.38460676646449
244,10,1.0,1,0,0.0,1,3,33.0,3,439.0,530000.0,43.68393675738664,-79.36792649040233
245,11,1.0,1,0,1.0,1,1,35.0,9,360.0,520000.0,43.655130959345094,-79.36572829509547
246,10,2.0,2,0,1.0,1,0,15.0,11,414.0,557000.0,43.66836804159718,-79.42169272830972
247,10,1.0,1,0,1.0,0,1,26.0,2,363.0,478000.0,43.68176696647642,-79.36925045334795
248,13,1.0,1,0,0.0,0,3,11.0,7,306.0,390000.0,43.64713698727472,-79.41274294145302
249,10,2.0,3,0,1.0,0,1,12.0,3,829.0,1074000.0,43.670738433905626,-79.40987184562863
250,10,1.0,1,1,1.0,1,2,14.0,7,753.3941598098409,833000.0,43.67219350814805,-79.39546012508933
251,10,1.0,1,0,0.0,1,1,13.988877454608806,8,630.0,540000.0,43.68718176010148,-79.37522267177633
252,10,1.0,1,1,1.0,1,1,7.0,25,701.0,761000.0,43.66021091659832,-79.40316051683354
253,11,1.0,1,1,1.0,1,0,0.0,16,796.0,832000.0,43.65936113905952,-79.37554333947512
254,10,1.0,1,0,1.0,0,3,5.0,3,1102.0,991000.0,43.68511189211229,-79.37641788913504
256,10,2.0,2,0,3.0,0,1,38.0,1,1234.0,1629000.0,43.67633236437599,-79.37986360694174
257,10,2.0,2,0,5.0,0,1,14.360073751341094,6,2914.0,3297000.0,43.67711582127787,-79.36574647392622
258,11,2.0,1,0,0.0,0,2,87.0,9,576.0,667000.0,43.65537858213443,-79.35978779473562
259,10,1.0,1,1,1.0,0,1,13.981401522187754,23,584.0,879000.0,43.684476518923,-79.37039541935812
260,10,1.0,1,0,1.0,1,0,2.0,33,511.0,652000.0,43.685897089097594,-79.37758603110153
261,10,1.0,1,0,1.0,0,3,7.0,0,859.0,764000.0,43.652653754175034,-79.41630918792667
262,13,1.0,1,0,0.0,1,0,4.0,15,423.0,417000.0,43.64317662051906,-79.38006486360766
263,13,2.0,2,0,1.0,1,1,13.966124616805601,4,490.0,662000.0,43.64770224933395,-79.41988449718782
264,13,1.0,1,1,1.0,1,1,2.0,3,516.0,660000.0,43.64093176004792,-79.4123713556418
265,10,1.0,1,1,1.0,1,2,10.0,2,365.0,622000.0,43.660638028459495,-79.40686985254409
266,10,1.0,1,0,0.0,1,0,0.0,3,370.0,438000.0,43.68653429523293,-79.37962876887572
267,10,1.0,1,0,1.0,1,3,3.0,5,507.0,621000.0,43.670359933813835,-79.41795996470206
268,10,1.0,1,0,2.0,1,0,7.0,3,871.0,1063000.0,43.6790904914052,-79.38484089376479
269,11,2.0,2,0,5.0,1,3,8.0,10,2235.0,2526000.0,43.64857067184142,-79.37997039227596
270,11,2.0,3,0,0.0,1,0,20.0,8,458.0,563000.0,43.65759737127651,-79.35654229642189
